Site.Code,Site,Subsite,Sampling.Time,Month,Data.Entered.by,Plot.ID,unique.ID,Prior.to.change,Previous.Spellings,Other.notes,Original.Species,Juvenile,Subspecies,Species,Subgenus,Genus,Tribe,Subfamily,Family,Superfamily,Subsection,Section,Parvorder,Infraorder,Suborder,Order,Superorder,Infraclass,Subclass,Class,Group,Taxa,Type.Partner,Type,Total.Abundance,Notes,Total.Abundance.to.1.mm,Measured.size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Dry.Mass.g,individuals/SizeCount,DW.(g),Vegetative.or.Flower,Shoot.ID
RU,RU.A,A,1,August,Pozhilova,5,RU.A.1.5,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,4,RU.A.1.4,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,3,RU.A.1.3,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,20,RU.A.1.20,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,2,RU.A.1.2,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,19,RU.A.1.19,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,18,RU.A.1.18,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,17,RU.A.1.17,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,16,RU.A.1.16,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,15,RU.A.1.15,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,14,RU.A.1.14,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,13,RU.A.1.13,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,12,RU.A.1.12,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,11,RU.A.1.11,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,10,RU.A.1.10,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,8,NN.B.1.8,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,7,NN.B.1.7,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,3,NN.B.1.3,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,20,NN.B.1.20,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,2,NN.B.1.2,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,19,NN.B.1.19,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,18,NN.B.1.18,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,17,NN.B.1.17,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,16,NN.B.1.16,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,14,NN.B.1.14,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,13,NN.B.1.13,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,12,NN.B.1.12,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NN,NN.B,B,1,June,Britas.Klemens.Eriksson,1,NN.B.1.1,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,NA,Mesograzer,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,IR.B,B,2,August.,"McCready,V.",17,IR.B.2.17,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,IR.B,B,1,July,"Blaze,J.",12,IR.B.1.12,Littorina.obtusata,NA,NA,Littorina.obtusata,N,NA,Littorina.obtusata,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,IR.A,A,2,September,"McCready,V.",2,IR.A.2.2,Littorina.rudis,NA,NA,Littorina.rudis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod.,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,3,SW.B.1.3,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",9,QU.B.2.9,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,41,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",8,QU.B.2.8,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,180,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",7,QU.B.2.7,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,216,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",6,QU.B.2.6,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,251,NA,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",5,QU.B.2.5,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,299,NA,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",4,QU.B.2.4,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,229,NA,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",3,QU.B.2.3,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,98,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",20,QU.B.2.20,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,125,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",2,QU.B.2.2,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,179,NA,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",19,QU.B.2.19,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,86,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",18,QU.B.2.18,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,97,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",17,QU.B.2.17,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,71,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",16,QU.B.2.16,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,64,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",15,QU.B.2.15,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,65,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",14,QU.B.2.14,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,87,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",13,QU.B.2.13,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,149,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",12,QU.B.2.12,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,134,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",11,QU.B.2.11,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,183,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",10,QU.B.2.10,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,57,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,2,August,"Cimon,S",1,QU.B.2.1,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,167,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,1,June,"Cimon,S",9,QU.B.1.9,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,71,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,1,June,"Cimon,S",8,QU.B.1.8,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,41,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,1,June,"Cimon,S",7,QU.B.1.7,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,66,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,1,June,"Cimon,S",6,QU.B.1.6,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,25,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QU,QU.B,B,1,June,"Cimon,S",5,QU.B.1.5,Littorina.saxatilis,NA,NA,Littorina.saxatilis,N,NA,Littorina.saxatilis,NA,Littorina,NA,Littorininae,Littorinidae,Littorinoidea,NA,NA,NA,NA,NA,Littorinimorpha,NA,NA,Caenogastropoda,Gastropoda,Gastropod,Mollusc.Mesograzer,Mesograzer,Mesograzer,33,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
